"user_id","first_name","last_name","username","email","wallet","DOB","gender","updated_date","add_id","type","street_address","city","state","zipcode","bank_id","exp_date","inven_id","item_id","bought_price","quantity"
"Rjxz8VcbER","Candis","Malena","CandisMalenaZOX","CandisMalenaZOX@outlook.com","1259.680","2000-07-10 00:00:00","M","2021-04-27 21:23:26","JY2vjt1s5g","work","924 st","Brooklyn","NY","53247","xsgcYKD97T","1997-10-01 00:00:00","0dfGQmvVTS","ZpRqyYvwjE","136.390","68.000"
"Rjxz8VcbER","Candis","Malena","CandisMalenaZOX","CandisMalenaZOX@outlook.com","1259.680","2000-07-10 00:00:00","M","2021-04-27 21:23:26","M8mdCLGLSf","work","153 st","Buffalo","CA","3628","xsgcYKD97T","1997-10-01 00:00:00","0dfGQmvVTS","ZpRqyYvwjE","136.390","68.000"
"p3jLkPyMX8","Rene","Ann","ReneAnnJNJ","ReneAnnJNJ@icloud.com","6426.130","2002-07-20 00:00:00","F","2021-04-27 21:23:27","j1VJ1rm7fW","work","072 st","Buffalo","NY","69423","XAUNCnIivt","1993-11-01 00:00:00","0DX2eWRN6R","2wBXSwxsCj","256.970","84.000"
"p3jLkPyMX8","Rene","Ann","ReneAnnJNJ","ReneAnnJNJ@icloud.com","6426.130","2002-07-20 00:00:00","F","2021-04-27 21:23:27","xvNZ6KBpXi","home","612 st","Dallas","CA","37400","XAUNCnIivt","1993-11-01 00:00:00","0DX2eWRN6R","2wBXSwxsCj","256.970","84.000"
"2fJOf6nx6z","David","John","DavidJohnoET","DavidJohnoET@gmail.com","3765.330","1998-10-01 00:00:00","M","2021-04-27 21:23:27","d6Mk54ECUz","home","590 st","Dallas","NY","32457","FbwLlxcRg9","1990-10-01 00:00:00","0w50ZOwGQD","tC2QtGqfpj","614.270","58.000"
"mnGcnPNxsl","David","Sai","DavidSaipl4","DavidSaipl4@yahoo.com","852.490","2002-05-14 00:00:00","M","2021-04-27 21:23:24","jIiCwRMokt","work","832 st","New York","TX","62784","QhZuhkHFfr","1994-11-01 00:00:00","1Kog8NzRns","ZpRqyYvwjE","135.390","17.000"
"mnGcnPNxsl","David","Sai","DavidSaipl4","DavidSaipl4@yahoo.com","852.490","2002-05-14 00:00:00","M","2021-04-27 21:23:24","jIiCwRMokt","work","832 st","New York","TX","62784","ZesTB9sUTt","1997-02-01 00:00:00","1Kog8NzRns","ZpRqyYvwjE","135.390","17.000"
"op0j2MMOEO","Ann","Meghan","AnnMeghanemA","AnnMeghanemA@icloud.com","1043.140","2002-10-27 00:00:00","M","2021-04-27 21:23:27","3yEWS7wU74","home","158 st","Daton","TX","45999","GbOxnRbObd","2007-03-01 00:00:00","1MvwJt4oGY","tC2QtGqfpj","615.270","82.000"
"op0j2MMOEO","Ann","Meghan","AnnMeghanemA","AnnMeghanemA@icloud.com","1043.140","2002-10-27 00:00:00","M","2021-04-27 21:23:27","MxKvDnABfx","work","143 st","New York","NY","86767","GbOxnRbObd","2007-03-01 00:00:00","1MvwJt4oGY","tC2QtGqfpj","615.270","82.000"
"Atg1Ajv2Ur","David","Paul","DavidPaultTB","DavidPaultTB@outlook.com","1581.320","1999-10-06 00:00:00","F","2021-04-27 21:23:25","P6kGbQqOfy","home","024 st","Dallas","OH","95426","g60bQ12wYE","2002-09-01 00:00:00","1N8s1LgqhS","2wBXSwxsCj","262.970","54.000"
